C.Wt%,0.249,,eq.strain,eq.stress.MPa,,eq.stress.MPa,theta,,eq.stress.MPa,d.theta/d.stress,d.theta/d.stress(normalised),,eq.stress.MPa,relative.austenite.fraction
,,,0.000569838,108.6076503,,116.1914777,157297.2741,,122.6970099,19.61789927,0.065392998,,,
,,,0.000589826,111.7537244,,119.5102942,151569.0218,,124.6701318,4.874644111,0.016248814,,,
,,,0.00059982,113.3553447,,121.0063149,156164.4263,,126.5770143,20.52188821,0.068406294,,,
,,,0.000609814,114.9594784,,122.5529946,161098.3092,,128.486454,36.72402063,0.122413402,,,
,,,0.000619808,116.4767934,,124.0760019,178327.4979,,130.4005013,101.8618411,0.33953947,,,
,,,0.000639795,118.0920964,,127.8737901,202457.6513,,132.3190535,82.49421228,0.274980708,,,
,,,0.000649789,121.411075,,128.0163958,175771.4291,,134.3173663,5.944121874,0.01981374,,,
,,,0.000659782,123.0277771,,129.9006929,176643.1214,,136.2631,38.73893561,0.129129785,,,
,,,0.000669776,124.7065507,,131.7913692,179065.4897,,138.2144667,3.748005982,0.012493353,,,
,,,0.000689762,126.2873559,,133.8511248,187118.3762,,140.1688501,1.938898226,0.006462994,,,
,,,0.000689762,127.9028931,,136.8257281,160131.0951,,142.1331993,14.45867713,0.04819559,,,
,,,0.000699755,129.4800181,,138.2505159,158063.6954,,144.1030997,32.60573852,0.108685795,,,
,,,0.000709748,132.8365345,,139.5877203,153589.1644,,146.0872926,108.2399886,0.360799962,,,
,,,0.000719741,134.6172396,,141.1598448,159024.1415,,148.0804609,193.634436,0.64544812,,,
,,,0.000739726,136.2851828,,144.7178145,185069.7395,,150.0765782,113.824914,0.37941638,,,
,,,0.000749719,137.9890406,,146.7144906,176439.2593,,152.076655,60.41303825,0.201376794,,,
,,,0.000759711,139.6060696,,148.5300591,172423.6385,,154.0819561,14.54745282,0.048491509,,,
,,,0.000769704,141.3099947,,150.2123876,184244.9844,,156.0918637,75.81419341,0.252713978,,,
,,,0.000789688,144.7303562,,150.547045,186159.0024,,158.0342105,69.99075377,0.233302513,,,
,,,0.00079968,146.5113223,,154.064082,171195.9032,,160.0373173,109.1498118,0.363832706,,,
,,,0.000809672,148.1905651,,155.6205895,165796.5812,,162.0382511,102.8183641,0.34272788,,,
,,,0.000819664,149.9442999,,157.0201684,160735.2591,,164.0347568,84.27085392,0.280902846,,,
,,,0.000819664,151.5848663,,161.8186482,172578.7933,,166.0317983,17.49821298,0.058327377,,,
,,,0.000839647,153.3153646,,162.0886899,161580.742,,168.023915,24.1980921,0.080660307,,,
,,,0.000849639,154.9947425,,163.6313295,156834.1644,,170.0050896,103.4848657,0.344949552,,,
,,,0.00085963,158.5654724,,165.0121782,154560.3885,,171.9766727,74.45335495,0.24817785,,,
,,,0.000889604,160.3970655,,166.8983688,175408.3065,,173.9403511,49.13801522,0.163793384,,,
,,,0.000889604,162.1395136,,172.0486985,161626.1937,,175.893464,6.153911165,0.020513037,,,
,,,0.000899595,163.8190633,,173.6604997,158098.4866,,177.8386321,27.51694089,0.091723136,,,
